,open,high,low,close,buy_volume,sell_volume,avg_speed,tick_count,volume_delta,rejection_speed,micro_trend,source_date,symbol,vol_mean,vol_std,is_massive_vol,absorption_ratio,absorption_z,whale_signal,ret_3h_pips,hit_3h,miss_3h,ret_6h_pips,hit_6h,miss_6h,ret_12h_pips,hit_12h,miss_12h,hit,miss
2026-04-10 15:00:00,1.1714099999999998,1.172565,1.17095,1.17208,0.0,0.0,7.201064874904222e-08,6123,0.0,1.5630804358333914,0.1996904024767644,2026-04-05,EURUSD,3482.125,1470.5566326335752,True,3791331.269349507,2.5510186792541583,1,0.0,0,1,0.0,0,1,6.9499999999989015,1,0,1,0
2026-04-16 17:00:00,1.1772550000000002,1.178215,1.1768999999999998,1.177165,0.0,0.0,5.5394109383865403e-08,6796,0.0,1.505116806728,-0.2984790874522759,2026-04-12,EURUSD,5255.041666666667,842.8698635519326,True,5168060.836501205,1.780649335676288,1,0.0,0,1,0.0,0,1,0.0,0,1,0,1
2026-04-17 16:00:00,1.183535,1.18492,1.18243,1.18337,0.0,0.0,8.371653242169786e-08,15070,0.0,2.745581596179828,-0.1224899598393631,2026-04-09,EURUSD,7288.0,3642.047632379594,True,6052208.835341654,3.541356051813887,1,0.0,0,1,0.0,0,1,0.0,0,1,0,1
2026-04-23 03:00:00,1.170595,1.17136,1.16923,1.171155,0.0,0.0,7.082295864626735e-08,7242,0.0,1.7738287292570296,0.4037558685446464,2026-04-09,EURUSD,957.7916666666666,1338.6070300118356,True,3400000.0000000554,1.9361227712278677,1,0.0,0,1,0.0,0,1,0.0,0,1,0,1
2026-04-23 15:00:00,1.169095,1.169815,1.16861,1.169195,0.0,0.0,6.882592856635287e-08,7125,0.0,1.7110123633611116,-0.014522821576765,2026-04-22,EURUSD,4550.958333333333,923.0595382920458,True,5912863.070538817,4.492888320184032,1,0.0,0,1,0.0,0,1,0.0,0,1,0,1
2026-04-28 16:00:00,1.1697,1.17038,1.168855,1.16974,0.0,0.0,6.236615859289239e-08,6881,0.0,2.016895393847823,0.0803278688524757,2026-04-16,EURUSD,6132.875,421.4813743370412,True,4512131.1475409875,4.419792827536445,1,0.0,0,1,0.0,0,1,0.0,0,1,0,1
2026-04-29 01:00:00,1.171295,1.171815,1.171295,1.1715749999999998,0.0,0.0,6.678266423177235e-08,1135,0.0,2.093894907190761,0.0384615384609308,2026-04-21,EURUSD,402.625,480.95636722449547,True,2182692.307691989,1.6760112878679194,1,0.0,0,1,0.0,0,1,0.0,0,1,0,1
2026-05-01 17:00:00,1.176195,1.17852,1.17613,1.176735,0.0,0.0,6.575152998001916e-08,9879,0.0,1.6405899201256702,-0.2468619246863343,2026-04-30,EURUSD,6990.625,760.8783147012505,True,4133472.803347083,2.074321868668266,1,0.0,0,1,0.0,0,1,0.0,0,1,0,1
2026-05-05 17:00:00,1.16976,1.17059,1.16916,1.170565,0.0,0.0,6.31888544234794e-08,8235,0.0,1.7333581301816052,0.4825174825173685,2026-04-23,EURUSD,5780.416666666667,532.2158696280339,True,5758741.258741088,4.430403111801203,1,0.0,0,1,0.0,0,1,0.0,0,1,0,1
2026-05-12 15:00:00,1.17439,1.175,1.1736,1.174775,0.0,0.0,5.82495868963325e-08,5574,0.0,1.9481971555133717,0.3392857142855415,2026-04-29,EURUSD,3520.4166666666665,647.7151760420174,True,3981428.5714283786,3.512923733566741,1,0.0,0,1,0.0,0,1,0.0,0,1,0,1
2026-05-14 16:00:00,1.16972,1.16998,1.168565,1.168975,0.0,0.0,6.214832770911849e-08,6297,0.0,3.0193166577310917,-0.2102473498232164,2026-05-09,EURUSD,3756.0,653.5111854933995,True,4450176.678445405,1.120574888809908,1,0.0,0,1,0.0,0,1,0.0,0,1,0,1
2026-05-15 16:00:00,1.162655,1.163225,1.161905,1.16235,0.0,0.0,5.4862351329612927e-08,6744,0.0,1.588295395335817,-0.1628787878786789,2026-05-09,EURUSD,5041.125,487.5336610452264,True,5109090.909090956,1.9004108521979128,1,0.0,0,1,0.0,0,1,0.0,0,1,0,1
2026-05-28 15:00:00,1.16168,1.16383,1.16157,1.16366,0.0,0.0,5.699877078381137e-08,6073,0.0,1.7198161221252648,0.4247787610618939,2026-05-13,EURUSD,3816.7916666666665,480.6769663865305,True,2687168.141593005,0.6970614127795682,1,0.0,0,1,0.0,0,1,0.0,0,1,0,1
