trade_id,profit,symbol,direction
1,141.63428670767598,EURUSD,sell
2,124.73560724145776,GOLD,sell
3,103.48773697613773,GBPUSD,sell
4,137.5764549971969,GOLD,sell
5,129.9874837342102,GBPUSD,buy
6,142.55567290377573,GOLD,buy
7,106.19227731255725,GOLD,sell
8,104.80341647296483,GBPUSD,buy
9,121.18830871834743,EURUSD,sell
10,109.97899872950602,EURUSD,buy
11,102.69570531129801,EURUSD,sell
12,113.5853684780972,GBPUSD,sell
13,133.68844614686466,GBPUSD,buy
14,120.68325304385337,EURUSD,buy
15,98.2296198105599,GOLD,sell
16,104.18515793699,GBPUSD,sell
17,141.54650578815998,EURUSD,buy
18,-112.33589392465844,GOLD,buy
19,100.68826147230642,GBPUSD,sell
20,117.12731969950086,EURUSD,buy
21,119.76849168534098,GOLD,sell
22,139.64737929978153,EURUSD,sell
23,127.80106964899113,GBPUSD,sell
24,120.96326501653492,GBPUSD,sell
25,104.8730138652253,GBPUSD,buy
26,-111.00531293444458,EURUSD,buy
27,-115.79309401710596,GBPUSD,buy
28,140.24996328110961,GBPUSD,buy
29,105.40717739611897,EURUSD,buy
30,111.61585587663669,GBPUSD,buy
31,109.024753525147,EURUSD,buy
32,113.12415968129228,GOLD,sell
33,122.04941199159593,EURUSD,buy
34,134.5054550761939,EURUSD,buy
35,143.37057295682482,EURUSD,sell
36,105.53835271364028,GOLD,buy
37,135.14214856583203,EURUSD,buy
38,130.9923440659674,GOLD,sell
39,99.55414328323634,EURUSD,buy
40,101.56171485720623,EURUSD,buy
41,-104.93192507310232,GOLD,buy
42,99.05080081372914,GOLD,sell
43,111.60879945728385,EURUSD,buy
44,126.60275862505023,GOLD,buy
45,-98.88859700647798,GBPUSD,sell
46,130.23574978670376,GOLD,buy
47,122.94130548333582,EURUSD,sell
48,119.70218862549075,EURUSD,sell
49,116.52196888121038,GBPUSD,buy
50,101.17878849567862,EURUSD,sell
51,126.54769974066146,GBPUSD,sell
52,120.41139317590573,GOLD,buy
53,-89.971689165955,GBPUSD,sell
54,132.26645465006635,GOLD,sell
55,99.69503567178207,GBPUSD,buy
56,103.73862178819222,EURUSD,buy
57,-112.32481518257669,GOLD,buy
58,137.83010832901044,EURUSD,sell
59,104.95536282652972,EURUSD,buy
60,-101.57368967662603,GOLD,sell
61,139.01238239632767,GBPUSD,sell
62,101.2824923773285,GBPUSD,sell
63,116.5011738540603,GOLD,sell
64,137.3150679963045,EURUSD,sell
65,120.51587052372315,EURUSD,sell
66,106.66117490259506,GOLD,sell
67,112.20552822737415,EURUSD,buy
68,-92.92811728083021,EURUSD,buy
69,129.74491002696854,EURUSD,sell
70,142.6455399706061,EURUSD,sell
71,-90.07129183301457,EURUSD,buy
72,110.44215887120494,EURUSD,sell
73,97.77057347301758,EURUSD,buy
74,120.12859311498535,EURUSD,buy
75,109.37503028335735,GBPUSD,buy
76,-89.5824756266789,EURUSD,sell
77,119.49373249332302,EURUSD,sell
78,-89.68221086046002,GOLD,buy
79,132.55774153577843,EURUSD,buy
80,130.95438473336924,GBPUSD,buy
81,126.35067986849181,GOLD,buy
82,121.71718483558841,EURUSD,buy
83,136.09451978828343,EURUSD,sell
84,104.95288849919301,GBPUSD,buy
85,124.36286127303559,GBPUSD,sell
86,96.7962157885371,EURUSD,buy
87,106.87179720950103,GOLD,sell
88,104.3695885922396,EURUSD,sell
89,114.5632966224258,GBPUSD,sell
90,-85.50083776583973,EURUSD,sell
91,101.44672901954829,GBPUSD,sell
