trade_id,symbol,direction,profit,timestamp,events_found,verdict_type,verdict_confidence,closest_event,minutes_away
18,GOLD,buy,-112.33589392465844,2026-05-25 10:07:26.551163,0,technical,high,-,999
41,GOLD,buy,-104.93192507310232,2026-05-25 11:32:34.894589,0,technical,high,-,999
45,GBPUSD,sell,-98.88859700647798,2026-05-25 12:31:28.229298,0,technical,high,-,999
53,GBPUSD,sell,-89.971689165955,2026-05-25 14:15:09.849479,1,macro,very_high,New Home Sales,15
26,EURUSD,buy,-111.00531293444458,2026-05-25 15:15:03.114748,0,technical,high,-,999
57,GOLD,buy,-112.32481518257669,2026-05-25 15:19:21.451124,0,technical,high,-,999
71,EURUSD,buy,-90.07129183301457,2026-05-25 15:29:19.403954,0,technical,high,-,999
60,GOLD,sell,-101.57368967662605,2026-05-25 15:44:14.499583,0,technical,high,-,999
68,EURUSD,buy,-92.9281172808302,2026-05-25 17:02:49.989125,0,technical,high,-,999
27,GBPUSD,buy,-115.79309401710596,2026-05-25 17:35:53.464333,0,technical,high,-,999
78,GOLD,buy,-89.68221086046002,2026-05-25 19:51:06.087746,0,technical,high,-,999
76,EURUSD,sell,-89.5824756266789,2026-05-25 20:03:02.131536,0,technical,high,-,999
90,EURUSD,sell,-85.50083776583973,2026-05-26 09:12:25.485899,0,technical,high,-,999
114,GOLD,sell,-95.7239089866704,2026-05-26 09:32:42.703449,0,technical,high,-,999
115,GOLD,sell,-105.24554503989052,2026-05-26 11:40:22.694138,1,technical,low,Durable Goods Orders m/m,49
92,GOLD,sell,-115.09357413523924,2026-05-26 13:20:53.123407,1,technical,low,Durable Goods Orders m/m,50
100,EURUSD,buy,-111.19502183430497,2026-05-26 14:06:48.404779,0,technical,high,-,999
121,GBPUSD,sell,-118.15714308010348,2026-05-26 14:17:35.186305,0,technical,high,-,999
122,GBPUSD,buy,-94.80634801021776,2026-05-26 14:26:17.130489,0,technical,high,-,999
97,EURUSD,sell,-105.32405829093072,2026-05-26 14:28:29.213196,0,technical,high,-,999
125,GOLD,buy,-114.1203782186944,2026-05-26 16:34:47.031475,0,technical,high,-,999
127,EURUSD,sell,-92.67688020625113,2026-05-26 16:39:55.028210,0,technical,high,-,999
129,EURUSD,buy,-107.84119186699893,2026-05-26 18:03:07.702450,0,technical,high,-,999
133,EURUSD,sell,-109.6307447101682,2026-05-26 19:20:03.096442,0,technical,high,-,999
137,GBPUSD,sell,-116.52962210225886,2026-05-26 21:35:11.894417,0,technical,high,-,999
141,GBPUSD,sell,-93.51980627406144,2026-05-26 23:10:11.124804,0,technical,high,-,999
163,EURUSD,sell,-109.51587666783074,2026-05-27 10:27:16.461202,0,technical,high,-,999
180,GOLD,buy,-103.01896711503515,2026-05-27 10:57:13.399591,0,technical,high,-,999
183,GOLD,buy,-95.44410551203096,2026-05-27 11:56:04.411984,0,technical,high,-,999
184,GBPUSD,sell,-116.21402567824256,2026-05-27 12:13:20.072623,0,technical,high,-,999
169,EURUSD,sell,-108.14631437520094,2026-05-27 13:37:50.873162,1,macro,medium,Pending Home Sales m/m,22
196,GBPUSD,sell,-96.50470707645708,2026-05-27 14:45:05.709326,1,technical,low,Pending Home Sales m/m,45
199,GOLD,buy,-97.15976109500072,2026-05-27 15:12:41.797329,0,technical,high,-,999
205,EURUSD,buy,-83.65146707144535,2026-05-27 17:23:09.175298,0,technical,high,-,999
207,GOLD,buy,-102.93751552493144,2026-05-27 18:56:55.663363,0,technical,high,-,999
233,EURUSD,buy,-94.99482318094816,2026-05-28 09:22:40.331832,0,technical,high,-,999
240,EURUSD,buy,-100.92391376680597,2026-05-28 11:32:22.995235,2,technical,low,GDP q/q (Preliminar),57
245,GOLD,sell,-115.61055135563664,2026-05-28 12:31:36.809189,2,macro,very_high,GDP q/q (Preliminar),1
250,GOLD,buy,-119.44842977918412,2026-05-28 14:01:53.881660,0,technical,high,-,999
254,EURUSD,buy,-112.90148971692676,2026-05-28 15:09:24.568030,0,technical,high,-,999
267,EURUSD,sell,-102.21726822410513,2026-05-28 15:10:22.591094,0,technical,high,-,999
255,GOLD,sell,-109.0287803355344,2026-05-28 15:22:17.139208,0,technical,high,-,999
257,EURUSD,sell,-114.64255558001632,2026-05-28 15:49:08.815210,0,technical,high,-,999
260,GOLD,buy,-86.01667564414113,2026-05-28 16:39:13.630775,0,technical,high,-,999
262,GOLD,sell,-113.68475692542836,2026-05-28 17:16:03.281173,0,technical,high,-,999
224,GBPUSD,buy,-110.13512741035768,2026-05-28 19:21:46.435971,0,technical,high,-,999
271,GOLD,buy,-104.2469853780352,2026-05-28 20:16:12.286814,0,technical,high,-,999
278,GBPUSD,sell,-96.13931464849588,2026-05-28 22:18:40.449090,0,technical,high,-,999
308,GBPUSD,buy,-116.83489602127251,2026-05-29 09:25:44.633733,0,technical,high,-,999
343,GBPUSD,sell,-102.2705157205572,2026-05-29 13:30:25.199846,1,macro,medium,Michigan Consumer Sentiment (Final),29
298,EURUSD,sell,-98.95846561051488,2026-05-29 16:46:08.707323,0,technical,high,-,999
288,EURUSD,sell,-117.98082494630567,2026-05-29 19:24:37.071554,0,technical,high,-,999
285,EURUSD,buy,-93.930218680932,2026-05-29 19:56:21.429131,0,technical,high,-,999
340,EURUSD,buy,-114.6202850357592,2026-05-29 20:04:39.144004,0,technical,high,-,999
375,EURUSD,sell,-104.96951983655968,2026-05-30 08:55:57.328591,0,technical,high,-,999
380,GOLD,sell,-111.54388844898122,2026-05-30 09:21:32.100914,0,technical,high,-,999
361,GBPUSD,sell,-87.24932264662641,2026-05-30 14:20:25.247640,0,technical,high,-,999
399,GOLD,sell,-102.60532734356836,2026-05-30 15:38:59.805843,0,technical,high,-,999
404,GOLD,sell,-117.02274051627106,2026-05-30 16:33:01.178277,0,technical,high,-,999
406,EURUSD,buy,-113.55592345783737,2026-05-30 16:59:51.071929,0,technical,high,-,999
408,GBPUSD,sell,-100.75352228504288,2026-05-30 17:25:35.330430,0,technical,high,-,999
419,EURUSD,sell,-94.49575596466534,2026-05-30 18:18:20.118667,0,technical,high,-,999
500,GBPUSD,sell,-97.84023091831824,2026-05-31 09:49:05.108693,0,technical,high,-,999
499,EURUSD,sell,-85.47274523675846,2026-05-31 10:24:17.509882,0,technical,high,-,999
461,EURUSD,sell,-99.49724792998056,2026-05-31 12:22:02.030525,0,technical,high,-,999
462,GOLD,buy,-111.9942102378926,2026-05-31 13:16:26.407413,0,technical,high,-,999
467,GBPUSD,buy,-101.02760729210742,2026-05-31 14:09:57.916348,0,technical,high,-,999
435,EURUSD,sell,-117.84461848534532,2026-05-31 15:57:15.230731,0,technical,high,-,999
475,EURUSD,buy,-103.89652408681232,2026-05-31 16:20:36.003371,0,technical,high,-,999
